:GET :/ :200 :[object Object]
:GET :/ :200 :[object Object]
:GET :/abc/def/hjj :200 :[object Object]
:GET :/abc/def/hjj :200 :undefined
:GET :/ :200 :undefined
GET: /: 200: undefined ms
GET: /notes: 200: 8 ms:
GET: /notes: 200: 50 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 33 ms:
POST: /auth/login: 200: 85 ms:
GET: /notes: 200: 14 ms:
POST: /notes: 200: 68 ms:
GET: /notes: 200: 7 ms:
GET: /notes: 200: 4 ms:
DELETE: /notes/12: 200: 49 ms:
GET: /notes: 200: 7 ms:
GET: /notes: 200: 5 ms:
DELETE: /notes/11: 200: 36 ms:
GET: /notes: 200: 6 ms:
GET: /notes: 200: 4 ms:
POST: /notes: 200: 38 ms:
GET: /notes: 200: 6 ms:
GET: /notes: 200: 3 ms:
POST: /notes: 200: 48 ms:
GET: /notes: 200: 7 ms:
GET: /notes: 200: 6 ms:
DELETE: /notes/14: 200: 40 ms:
GET: /notes: 200: 8 ms:
GET: /notes: 200: 3 ms:
DELETE: /notes/13: 200: 37 ms:
GET: /notes: 200: 3 ms:
GET: /notes: 200: 6 ms:
POST: /auth/login: 200: 83 ms:
GET: /notes: 200: 17 ms:
GET: /notes: 200: 144 ms:
GET: /notes: 200: 8 ms:
DELETE: /notes/8: 200: 19 ms:
GET: /notes: 200: 5 ms:
GET: /notes: 200: 5 ms:
GET: /notes: 200: 5 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 29 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 29 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 33 ms:
POST: /notes: 200: 58 ms:
GET: /notes: 200: 6 ms:
GET: /notes: 200: 2 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 37 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 36 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 46 ms:
PUT: /notes/2: 200: 29 ms:
GET: /notes: 200: 3 ms:
GET: /notes: 200: 4 ms:
GET: /notes: 200: 34 ms:
POST: /auth/login: 200: 87 ms:
GET: /notes: 200: 8 ms:
GET: /notes: 200: 4 ms:
PUT: /notes/15: 200: 13 ms:
GET: /notes: 200: 3 ms:
GET: /notes: 200: 3 ms:
GET: /notes: 200: 4 ms:
GET: /: 200: 2 ms:
